,Cost,Benefit,Revenue,CaculateTime
TimeSlot 0,0.921066666666667,0.5680000000000001,-0.3530666666666672,109.3
TimeSlot 1,0.2229333333333334,0.6136,0.3906666666666666,104.26666666666667
TimeSlot 2,0.17446666666666674,0.6173333333333333,0.4428666666666667,103.6
TimeSlot 3,0.1861333333333334,0.6203999999999997,0.4342666666666667,105.63333333333334
TimeSlot 4,0.1767333333333334,0.6177333333333332,0.44099999999999995,103.86666666666666
TimeSlot 5,0.17266666666666666,0.6182666666666665,0.4455999999999999,103.16666666666667
TimeSlot 6,0.19213333333333338,0.6178666666666666,0.42573333333333335,101.76666666666667
TimeSlot 7,0.17373333333333335,0.6169333333333332,0.4431999999999999,101.73333333333333
TimeSlot 8,0.1720666666666667,0.6178666666666665,0.4458,102.13333333333334
TimeSlot 9,0.17320000000000002,0.6193333333333333,0.4461333333333333,117.86666666666666
TimeSlot 10,0.17246666666666677,0.6173333333333332,0.4448666666666667,102.8
TimeSlot 11,0.1699333333333334,0.6193333333333333,0.4493999999999999,100.93333333333334
TimeSlot 12,0.18180000000000002,0.6174666666666666,0.4356666666666667,102.06666666666666
TimeSlot 13,0.1763333333333334,0.6174666666666666,0.4411333333333334,102.06666666666666
TimeSlot 14,0.1745333333333334,0.6159999999999999,0.4414666666666666,103.5
TimeSlot 15,0.1817333333333334,0.6178666666666667,0.4361333333333333,103.76666666666667
TimeSlot 16,0.17760000000000006,0.6178666666666665,0.44026666666666664,102.93333333333334
TimeSlot 17,0.18246666666666672,0.6155999999999999,0.4331333333333333,102.9
TimeSlot 18,0.17413333333333342,0.6170666666666668,0.4429333333333332,101.66666666666667
TimeSlot 19,0.1767333333333334,0.6137333333333334,0.43700000000000006,101.5
TimeSlot 20,0.1795333333333334,0.6159999999999999,0.4364666666666667,102.56666666666666
TimeSlot 21,0.17860000000000006,0.6161333333333332,0.4375333333333333,102.1
TimeSlot 22,0.17173333333333335,0.6193333333333334,0.4475999999999999,102.03333333333333
TimeSlot 23,0.1730000000000001,0.6164,0.44339999999999996,103.26666666666667
TimeSlot 24,0.17513333333333345,0.6162666666666665,0.44113333333333327,102.23333333333333
TimeSlot 25,0.17773333333333338,0.6212,0.44346666666666673,102.36666666666666
TimeSlot 26,0.1792000000000001,0.6178666666666665,0.4386666666666665,102.7
TimeSlot 27,0.17666666666666675,0.6175999999999997,0.4409333333333334,102.86666666666666
TimeSlot 28,0.17240000000000008,0.6195999999999999,0.44720000000000015,101.3
TimeSlot 29,0.17593333333333336,0.6201333333333334,0.4441999999999999,101.2
TimeSlot 30,0.16673333333333337,0.6230666666666664,0.45633333333333326,100.23333333333333
TimeSlot 31,0.16853333333333337,0.6161333333333333,0.4475999999999999,101.13333333333334
TimeSlot 32,0.1695333333333334,0.6174666666666665,0.44793333333333335,100.83333333333333
TimeSlot 33,0.1700666666666667,0.618,0.4479333333333333,100.83333333333333
TimeSlot 34,0.1728666666666667,0.6171999999999999,0.4443333333333332,100.36666666666666
TimeSlot 35,0.1749333333333334,0.6172,0.4422666666666667,101.33333333333333
TimeSlot 36,0.1732666666666667,0.6117333333333332,0.4384666666666666,101.6
TimeSlot 37,0.17440000000000005,0.6170666666666665,0.4426666666666666,102.7
TimeSlot 38,0.17826666666666668,0.6169333333333331,0.43866666666666665,99.63333333333334
TimeSlot 39,0.17226666666666676,0.6164,0.4441333333333333,99.6
TimeSlot 40,0.1679333333333334,0.6206666666666666,0.45273333333333327,99.6
TimeSlot 41,0.1713333333333334,0.6172,0.4458666666666665,99.86666666666666
TimeSlot 42,0.18160000000000004,0.6150666666666667,0.4334666666666667,99.86666666666666
TimeSlot 43,0.16880000000000003,0.6212,0.4523999999999999,100.1
TimeSlot 44,0.1742666666666667,0.6170666666666667,0.4427999999999999,100.43333333333334
TimeSlot 45,0.17020000000000002,0.6179999999999999,0.4478000000000001,100.06666666666666
TimeSlot 46,0.17193333333333338,0.6147999999999999,0.4428666666666665,100.7
TimeSlot 47,0.1726000000000001,0.6127999999999999,0.4401999999999998,101.13333333333334
TimeSlot 48,0.17726666666666674,0.6169333333333332,0.43966666666666665,99.83333333333333
TimeSlot 49,0.17920000000000008,0.6187999999999999,0.43959999999999994,101.7
AverageAnswer ,0.190976,0.6164266666666663,0.4254506666666667,102.23333333333333
